Player	Team	Role	Price
Rishabh Pant	LSG	WK	27
Nicholas Pooran	LSG	WK	21
Aiden Markram	LSG	BAT	2
David Miller	LSG	BAT	7.5
Ravi Bishnoi	LSG	BOWL	11
			
Shreyas Iyer	PBKS	BAT	26.75
Arshdeep Singh	PBKS	BOWL	18
Yuzvendra Chahal	PBKS	BOWL	18
Marcus Stoinis	PBKS	AR	11
Glenn Maxwell	PBKS	AR	4.2
			
Venkatesh Iyer	KKR	AR	23.75
Rinku Singh	KKR	BAT	13
Andre Russell	KKR	AR	12
Sunil Narine	KKR	AR	12
Varun Chakravarthy	KKR	BOWL	12
			
KL Rahul	DC	WK	14
Axar Patel	DC	AR	16.5
Mitchell Starc	DC	BOWL	11.75
Kuldeep Yadav	DC	BOWL	13.25
Tristan Stubbs	DC	BAT	10
			
Virat Kohli	RCB	BAT	21
Rajat Patidar	RCB	BAT	11
Liam Livingstone	RCB	AR	8.75
Josh Hazlewood	RCB	BOWL	12.5
Phil Salt	RCB	WK	11.5
			
Ruturaj Gaikwad	CSK	BAT	18
Ravindra Jadeja	CSK	AR	18
Matheesha Pathirana	CSK	BOWL	13
Shivam Dube	CSK	AR	12
Devon Conway	CSK	WK	6.25
			
Rohit Sharma	MI	BAT	16.3
Jasprit Bumrah	MI	BOWL	18
Suryakumar Yadav	MI	BAT	16.35
Hardik Pandya	MI	AR	16.35
Tilak Varma	MI	BAT	8
			
Shubman Gill	GT	BAT	16.5
Rashid Khan	GT	BOWL	18
Mohammed Siraj	GT	BOWL	12.25
Jos Buttler	GT	WK	15.75
Sai Sudharsan	GT	BAT	8.5
			
Sanju Samson	RR	WK	18
Yashasvi Jaiswal	RR	BAT	18
Riyan Parag	RR	AR	14
Jofra Archer	RR	BOWL	12.5
Shimron Hetmyer	RR	BAT	11
			
Pat Cummins	SRH	AR	18
Heinrich Klaasen	SRH	WK	23
Travis Head	SRH	BAT	14
Abhishek Sharma	SRH	AR	14
Mohammed Shami	SRH	BOWL	10
			
Rashikh Salam	Dummy	BOWL	1
Nitish Rana	RR	BAT	4.2
Rahul Chahar	SRH	BOWL	3.2
Washington Sundar	GT	AR	3.2
Krunal Pandya	RCB	AR	5.75
